URL,RA,DEC,Level,Target,Detector,Aperture,Spectral_Elt,NExposures,ExpTime,StartTime,Dataset,PropID,VisitNum,PI_Name,DAOCat,SEXCat,Mode,DBCreationDate,Source,Wavelength,Format,ReleaseDate,NReleaseDate,Title,naxis,scale,naxes,crpix,crval,cd_matrix,filename,regionSTCS
http://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hlsp_hlastarclusters_hst_acs-wfc_ngc5457-f1-9490-01_F814W_v1_sci,210.846,54.3536,5,NGC5457-1,ACS/WFC,WFC,F814W,4,720,2002-11-15 23:23:24,hlsp_hlastarclusters_hst_acs-wfc_ngc5457-f1-9490-01_F814W_v1_sci,9490,ngc5457-f1-9490-01,Kuntz,,,ACCUM,2014-11-05 15:34:23,HLSP,8059.75976562,image/fits,1900-01-01 00:00:00,-2208988800,hlastarclusters_hst_acs-wfc_ngc5457-f1-9490-01 ACS/WFC F814W (hlsp) NGC5457-1,5700 5700,1.38889E-05,2,2850.000 2850.000,210.846000 54.353600,-1.38889E-05 0 0 1.38889E-05,hlsp_hlastarclusters_hst_acs-wfc_ngc5457-f1-9490-01_F814W_v1_sci,Polygon J2000   210.913390    54.314033  210.913521    54.393200  210.777547    54.393200  210.777678    54.314033
http://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hlsp_hlastarclusters_hst_acs-wfc_ngc5457-f2-9490-02_F814W_v1_sci,210.76,54.3393,5,NGC5457-7,ACS/WFC,WFC,F814W,4,720,2002-11-13 17:58:18,hlsp_hlastarclusters_hst_acs-wfc_ngc5457-f2-9490-02_F814W_v1_sci,9490,ngc5457-f2-9490-02,Kuntz,,,ACCUM,2014-11-05 15:34:23,HLSP,8059.75976562,image/fits,1900-01-01 00:00:00,-2208988800,hlastarclusters_hst_acs-wfc_ngc5457-f2-9490-02 ACS/WFC F814W (hlsp) NGC5457-7,5400 5400,1.38889E-05,2,2700.000 2700.000,210.760000 54.339300,-1.38889E-05 0 0 1.38889E-05,hlsp_hlastarclusters_hst_acs-wfc_ngc5457-f2-9490-02_F814W_v1_sci,Polygon J2000   210.823847    54.301762  210.823964    54.376762  210.695198    54.376762  210.695316    54.301762
http://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_08591_27_wfpc2_f547m_wf,210.802983,54.362052,2,NGC5457,WFPC2,PC1,F547M,4,1600,2001-04-22 05:42:14,hst_08591_27_wfpc2_f547m_wf,8591,27,RICHSTONE,Loaded,Loaded,IMAGE,2010-02-05 21:57:30,CADC,5483,image/fits,2002-04-24 21:46:49,1019684809,08591_27 WFPC2 F547M (combined) NGC5457,2150 2150,2.77778E-05,2,1075.000 1075.000,210.802983 54.362052,-2.77778E-05 0 0 2.77778E-05,hst_08591_27_wfpc2_f547m_wf,Polygon J2000 210.82685628 54.37075268 210.82686327 54.37074759 210.82685600 54.37075200 210.82675936 54.37069793 210.80262000 54.38505400 210.80261179 54.38505888 210.80260500 54.38505500 210.77867302 54.37139147 210.77844539 54.37152465 210.77843800 54.37152900 210.77843000 54.37152500 210.75147000 54.35596500 210.75157439 54.35590331 210.75158053 54.35589970 210.77536289 54.34190487 210.77644413 54.34126827 210.77819900 54.34023500 210.79192708 54.34815792 210.80240800 54.34187400 210.81244903 54.34756590 210.82581400 54.33945600 210.85318655 54.35478227 210.85319500 54.35478700 210.82687100 54.37075200 210.82686335 54.37075664 Polygon J2000  210.79939068 54.35537785 210.77983422 54.36701233 Polygon J2000  210.82676670 54.37069357 210.82280097 54.36847477 210.82675851 54.37068907
http://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_08591_27_wfpc2_f656n_wf,210.802983,54.362052,2,NGC5457,WFPC2,PC1,F656N,5,2100,2001-04-22 07:27:14,hst_08591_27_wfpc2_f656n_wf,8591,27,RICHSTONE,Loaded,Loaded,IMAGE,2010-02-05 21:57:30,CADC,6564,image/fits,2002-04-24 21:52:58,1019685178,08591_27 WFPC2 F656N (combined) NGC5457,2150 2150,2.77778E-05,2,1075.000 1075.000,210.802983 54.362052,-2.77778E-05 0 0 2.77778E-05,hst_08591_27_wfpc2_f656n_wf,Polygon J2000 210.80262000 54.38505400 210.80261179 54.38505888 210.80260500 54.38505500 210.77867302 54.37139147 210.77844539 54.37152465 210.77843800 54.37152900 210.77843000 54.37152500 210.75147000 54.35596500 210.75157439 54.35590331 210.75158053 54.35589970 210.77536289 54.34190487 210.77644413 54.34126827 210.77819900 54.34023500 210.79192708 54.34815792 210.80240800 54.34187400 210.81244903 54.34756590 210.82581400 54.33945600 210.85318655 54.35478227 210.85319500 54.35478700 210.82687100 54.37075200 210.82686335 54.37075664 210.82685628 54.37075268 210.82686327 54.37074759 210.82685600 54.37075200 210.82675936 54.37069793 Polygon J2000  210.79939068 54.35537785 210.77983422 54.36701233 Polygon J2000  210.82676670 54.37069357 210.82280097 54.36847477 210.82675851 54.37068907
http://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_08591_27_wfpc2_total_wf,210.802983,54.362052,2,NGC5457,WFPC2,PC1,detection,9,3700,2001-04-22 05:42:14,hst_08591_27_wfpc2_total_wf,8591,27,RICHSTONE,Loaded,Loaded,IMAGE,2010-02-05 21:57:30,CADC,6083.55555556,image/fits,2002-04-24 21:52:58,1019685178,08591_27 WFPC2 detection (combined) NGC5457,2150 2150,2.77778E-05,2,1075.000 1075.000,210.802983 54.362052,-2.77778E-05 0 0 2.77778E-05,hst_08591_27_wfpc2_total_wf,Polygon J2000 210.77983422 54.36701233 210.79939068 54.35537785 Polygon J2000  210.82685600 54.37075200 210.82675936 54.37069793 210.80262000 54.38505400 210.80261179 54.38505888 210.80260500 54.38505500 210.77867302 54.37139147 210.77844539 54.37152465 210.77843800 54.37152900 210.77843000 54.37152500 210.75147000 54.35596500 210.75157439 54.35590331 210.75158053 54.35589970 210.77536289 54.34190487 210.77644413 54.34126827 210.77819900 54.34023500 210.79192708 54.34815792 210.80240800 54.34187400 210.81244903 54.34756590 210.82581400 54.33945600 210.85318655 54.35478227 210.85319500 54.35478700 210.82687100 54.37075200 210.82686335 54.37075664 210.82685628 54.37075268 210.82686327 54.37074759 Polygon J2000  210.82280097 54.36847477 210.82675851 54.37068907 210.82676670 54.37069357
http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08591_27_wfpc2_f656n_wf&amp;blue=hst_08591_27_wfpc2_f547m_wf&amp;size=ALL&amp;format=fits,210.802983,54.362052,4,NGC5457,WFPC2,PC1,F656N/F547M,9,3700,2001-04-22 05:42:14,hst_08591_27_wfpc2_f656n_f547m_wf,8591,27,RICHSTONE,Loaded,Loaded,IMAGE,2010-02-05 21:57:30,CADC,227.301886792,image/fits,2002-04-24 21:52:58,1019685178,08591_27 WFPC2 F656N/F547M (color) NGC5457,2150 2150,2.77778E-05,2,1075.000 1075.000,210.802983 54.362052,-2.77778E-05 0 0 2.77778E-05,"hst_08591_27_wfpc2_f656n_wf,hst_08591_27_wfpc2_f547m_wf",Polygon J2000 210.80262000 54.38505400 210.80261179 54.38505888 210.80260500 54.38505500 210.77867302 54.37139147 210.77844539 54.37152465 210.77843800 54.37152900 210.77843000 54.37152500 210.75147000 54.35596500 210.75157439 54.35590331 210.75158053 54.35589970 210.77536289 54.34190487 210.77644413 54.34126827 210.77819900 54.34023500 210.79192708 54.34815792 210.80240800 54.34187400 210.81244903 54.34756590 210.82581400 54.33945600 210.85318655 54.35478227 210.85319500 54.35478700 210.82687100 54.37075200 210.82686335 54.37075664 210.82685628 54.37075268 210.82686327 54.37074759 210.82685600 54.37075200 210.82675936 54.37069793 Polygon J2000  210.79939068 54.35537785 210.77983422 54.36701233 Polygon J2000  210.82676670 54.37069357 210.82280097 54.36847477 210.82675851 54.37068907
http://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_09720_01_wfpc2_f336w_wf,210.782872,54.349301,2,M101-POS1,WFPC2,WFALL-FIX,F336W,2,2400,2004-02-10 00:09:15,hst_09720_01_wfpc2_f336w_wf,9720,01,CHANDAR,Loaded,Loaded,IMAGE,2010-02-05 09:49:09,CADC,3344,image/fits,2005-02-10 18:03:11,1108058591,09720_01 WFPC2 F336W (combined) M101-POS1,1950 1950,2.77778E-05,2,975.000 975.000,210.782872 54.349301,-2.77778E-05 0 0 2.77778E-05,hst_09720_01_wfpc2_f336w_wf,Polygon J2000 210.75570600 54.34358500 210.76887105 54.34080811 210.76219400 54.33026000 210.79780200 54.32260300 210.81095100 54.34337500 210.81081358 54.34340458 210.82243800 54.36233400 210.79088842 54.36891495 210.79099900 54.36909800 210.75520900 54.37643600 210.75516011 54.37635506 210.74394219 54.35777674 210.74343311 54.35693323 210.74260500 54.35556100 210.76082792 54.35182417
http://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_09720_01_wfpc2_total_wf,210.782872,54.349301,2,M101-POS1,WFPC2,WFALL-FIX,detection,2,2400,2004-02-10 00:09:15,hst_09720_01_wfpc2_total_wf,9720,01,CHANDAR,Loaded,Loaded,IMAGE,2010-02-05 09:49:09,CADC,3344,image/fits,2005-02-10 18:03:11,1108058591,09720_01 WFPC2 detection (combined) M101-POS1,1950 1950,2.77778E-05,2,975.000 975.000,210.782872 54.349301,-2.77778E-05 0 0 2.77778E-05,hst_09720_01_wfpc2_total_wf,Polygon J2000 210.75520900 54.37643600 210.75516011 54.37635506 210.74394219 54.35777674 210.74343311 54.35693323 210.74260500 54.35556100 210.76082792 54.35182417 210.75570600 54.34358500 210.76887105 54.34080811 210.76219400 54.33026000 210.79780200 54.32260300 210.81095100 54.34337500 210.81081358 54.34340458 210.82243800 54.36233400 210.79088842 54.36891495 210.79099900 54.36909800
http://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=HST_11080_a6_NIC_NIC3_F187N,210.803343,54.349648,2,NGC5457,NIC3,NIC3,F187N,6,959.76,2007-05-30 06:28:45,HST_11080_a6_NIC_NIC3_F187N,11080,a6,Calzetti,,,MULTIACCUM,2009-12-07 20:12:06,HLA,18747.8,image/fits,2007-05-30 12:31:58,1180528318,11080_a6 NIC3 F187N (combined) NGC5457,650 650,2.77778E-05,2,325.000 325.000,210.803343 54.349648,-2.77778E-05 0 0 2.77778E-05,HST_11080_a6_NIC_NIC3_F187N,Polygon J2000 210.79416342 54.35841940 210.79374400 54.35847220 210.79365560 54.35822750 210.78850997 54.34415367 210.78842060 54.34390920 210.81247489 54.34087853 210.81247535 54.34087980 210.81289560 54.34082680 210.81804922 54.35489962 210.81813725 54.35514296 210.81822730 54.35538870 210.79416390 54.35842070
http://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=HST_11080_a6_NIC_NIC3_F190N,210.803343,54.349648,2,NGC5457,NIC3,NIC3,F190N,6,1343.76,2007-05-30 06:31:46,HST_11080_a6_NIC_NIC3_F190N,11080,a6,Calzetti,,,MULTIACCUM,2009-12-07 20:12:06,HLA,19003.4,image/fits,2007-05-30 12:33:00,1180528380,11080_a6 NIC3 F190N (combined) NGC5457,650 650,2.77778E-05,2,325.000 325.000,210.803343 54.349648,-2.77778E-05 0 0 2.77778E-05,HST_11080_a6_NIC_NIC3_F190N,Polygon J2000 210.78842060 54.34390920 210.81247489 54.34087853 210.81247535 54.34087980 210.81289560 54.34082680 210.81804922 54.35489962 210.81813725 54.35514296 210.81822730 54.35538870 210.79416390 54.35842070 210.79416342 54.35841940 210.79374400 54.35847220 210.79365560 54.35822750 210.78850997 54.34415367
http://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=HST_11080_a6_NIC_NIC3_total,210.803343,54.349648,2,NGC5457,NIC3,NIC3,detection,12,2303.52,2007-05-30 06:28:45,HST_11080_a6_NIC_NIC3_total,11080,a6,Calzetti,,,MULTIACCUM,2009-12-07 20:12:06,HLA,-9999,image/fits,2007-05-30 12:33:00,1180528380,11080_a6 NIC3 detection (combined) NGC5457,650 650,2.77778E-05,2,325.000 325.000,210.803343 54.349648,-2.77778E-05 0 0 2.77778E-05,HST_11080_a6_NIC_NIC3_total,Polygon J2000 210.81247535 54.34087980 210.81289560 54.34082680 210.81804922 54.35489962 210.81813725 54.35514296 210.81822730 54.35538870 210.79416390 54.35842070 210.79416342 54.35841940 210.79374400 54.35847220 210.79365560 54.35822750 210.78850997 54.34415367 210.78842060 54.34390920 210.81247489 54.34087853
http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_11080_a6_NIC_NIC3_F190N&amp;blue=HST_11080_a6_NIC_NIC3_F187N&amp;size=ALL&amp;format=fits,210.803343,54.349648,4,NGC5457,NIC3,NIC3,F190N/F187N,12,2303.52,2007-05-30 06:28:45,HST_11080_a6_NIC_NIC3_F190N_F187N,11080,a6,Calzetti,,,MULTIACCUM,2009-12-07 20:12:06,HLA,712.286792453,image/fits,2007-05-30 12:33:00,1180528380,11080_a6 NIC3 F190N/F187N (color) NGC5457,650 650,2.77778E-05,2,325.000 325.000,210.803343 54.349648,-2.77778E-05 0 0 2.77778E-05,"HST_11080_a6_NIC_NIC3_F190N,HST_11080_a6_NIC_NIC3_F187N",Polygon J2000 210.78842060 54.34390920 210.81247489 54.34087853 210.81247535 54.34087980 210.81289560 54.34082680 210.81804922 54.35489962 210.81813725 54.35514296 210.81822730 54.35538870 210.79416390 54.35842070 210.79416342 54.35841940 210.79374400 54.35847220 210.79365560 54.35822750 210.78850997 54.34415367
http://hla.stsci.edu/cgi-bin/getdata.cgi?dataset=hst_11635_11_wfc3_uvis_f469n,210.79671,54.331825,2,M101-K,WFC3/UVIS,UVIS-CENTER,F469N,4,6106,2010-04-07 22:26:26,hst_11635_11_wfc3_uvis_f469n,11635,11,Shara,Loaded,Loaded,ACCUM,2014-09-28 11:52:15,HLA,4688.104,image/fits,2011-04-08 07:41:06,1302248466,11635_11 WFC3/UVIS F469N (combined) M101-K,5692 5560,1.10053E-05,2,2846.001 2780.001,210.796710 54.331825,-1.10053E-05 0 0 1.10053E-05,hst_11635_11_wfc3_uvis_f469n,Polygon J2000 210.78278680 54.35297430 210.74730320 54.34364610 210.74732977 54.34360506 210.74730330 54.34359810 210.74731273 54.34358353 210.77470500 54.30122693 210.77473150 54.30118590 210.77477203 54.30119656 210.77478150 54.30118190 210.81022072 54.31049833 210.81023470 54.31050200 210.81020800 54.31054339 210.81023430 54.31055030 210.78283680 54.35296990 210.78281058 54.35296301 210.78279649 54.35295931 Polygon J2000  210.84550660 54.31986978 210.84554720 54.31988040 210.84552096 54.31992194 210.84554680 54.31992870 210.81879980 54.36222370 210.81877389 54.36221693 210.81875924 54.36221309 210.81874980 54.36222800 210.81872373 54.36222118 210.78365130 54.35304400 210.78367740 54.35300283 210.78365130 54.35299600 210.81042890 54.31070810 210.81046962 54.31071876 210.81047890 54.31070410
